Brand Name,Sources,Gyftr Slug(s),Maximize Slug(s),Already Whitelisted?,Matched Whitelist Entry,Guessed Official Website,Confidence,Notes
Instafab Plus,Gyftr,instafab-plus,,No,,instafabplus.com,Verified,Search confirmed instafabplus.com as the official plus-size fashion site.
INTERMILES,Gyftr,intermiles,,No,,intermiles.com,Verified,Search confirmed intermiles.com as InterMiles' official rewards program site.
IOCL,Gyftr,iocl,,No,,iocl.com,Medium,
IRCTC,Gyftr+Maximize,gv-irctc,irctc,No,,irctc.co.in,Verified,Search confirmed irctc.co.in as the official Indian Railways ticketing portal.
ITC Hotels,Gyftr,itc-hotels,,No,,itchotels.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Ixigo,Gyftr,ixigo,,No,,ixigo.com,Verified,Search confirmed ixigo.com as the official travel booking site.
ixigo hotel,Gyftr,ixigo-hotel,,No,,ixigo.com,Verified,Hotel booking is a product line on the same ixigo.com site (ixigo.com/hotels).
JIMMY CHOO- Luxe Gift Card,Gyftr,jimmy-choo,,No,,jimmychoo.com,Medium,
JioHotstar,Gyftr+Maximize,jio-hotstar,jiohotstar,No,,jiohotstar.com,Verified,Search confirmed jiohotstar.com is officially owned by Viacom18/Reliance after the JioCinema-Hotstar merger.
JioSaavn,Gyftr,jiosaavn,,No,,jiosaavn.com,Verified,Search confirmed jiosaavn.com as the official music streaming site.
Jockey,Gyftr,jockey,,No,,jockey.in,Verified,Search confirmed jockey.in as Page Industries' official Jockey India licensee site.
Jos Alukkas Diamond,Maximize,,jos-alukkas-diamond,No,,josalukkas.com,Medium,
Jos Alukkas Gold Coin,Maximize,,jos-alukkas-gold-coin,No,,josalukkas.com,Medium,
Jos Alukkas Gold Jewellery,Maximize,,jos-alukkas-gold-jewellery,No,,josalukkas.com,Medium,
Joyalukkas Diamond,Maximize,,joyalukkas-diamond,No,,joyalukkas.com,Medium,
Joyalukkas Gold and Diamond,Maximize,,joyalukkas-gold-and-diamond,No,,joyalukkas.com,Medium,
Joyalukkas Pure Gold,Maximize,,joyalukkas-pure-gold,No,,joyalukkas.com,Medium,
Just Lil Things,Maximize,,just-lil-things,No,,justlilthings.in,Verified,"justlilthings.com redirects (301) to justlilthings.in; confirmed as JLT Accessories India Pvt Ltd, Bangalore, jewelry/accessories e-commerce."
KALKI,Gyftr,kalki,,No,,kalkifashion.com,Verified,Search confirmed kalkifashion.com as the official Kalki Fashion ethnic-wear site.
Kalyan Diamond Jewellery,Gyftr,kalyan-diamond-jewellery,,No,,kalyanjewellers.net,Medium,
Kalyan Gold Coins,Gyftr,kalyan-gold-coins,,No,,kalyanjewellers.net,Medium,
Kalyan Gold Jewellery,Gyftr,kalyan-gold-jewellery,,No,,kalyanjewellers.net,Medium,
Kama Ayurveda,Gyftr,kama-ayurveda,,No,,kamaayurveda.in,Verified,Search confirmed kamaayurveda.in as the official India online store (kamaayurveda.com also exists for other markets).
Kate Spade- Luxe Gift Card,Gyftr+Maximize,kate-spade--luxe-gift-card,kate-spade-luxe,No,,katespade.com,Medium,
Ketan Diamonds Diamond Only,Gyftr+Maximize,ketan-diamonds-diamond-only,ketan-diamonds-diamond-only,No,,ketandiamonds.com,Verified,Search confirmed ketandiamonds.com as the official Bangalore-based online jewellery retailer.
Ketan Diamonds Gold Coin,Gyftr+Maximize,ketan-diamonds-gold-coin,ketan-diamonds-gold-coin,No,,ketandiamonds.com,Verified,Same underlying brand/site as other Ketan Diamonds voucher variants.
Ketan Diamonds Gold Jewellery,Gyftr+Maximize,ketan-diamonds-gold-jewellery,ketan-diamonds-gold-jewellery,No,,ketandiamonds.com,Verified,Same underlying brand/site as other Ketan Diamonds voucher variants.
KFC,Gyftr,kfc,,No,,kfc.co.in,Verified,Search confirmed kfc.co.in as the official KFC India site.
Kimirica,Gyftr+Maximize,kimirica,kimirica,No,,kimirica.shop,Verified,Search found two related domains: kimirica.com (B2B hotel amenities manufacturer site) and kimirica.shop (consumer D2C storefront where a gift voucher would actually be redeemed).
Klook,Gyftr,klook,,No,,klook.com,Verified,Search confirmed klook.com as the official travel/activities booking site.
La Martina- Luxe Gift Card,Gyftr,la-martina--luxe-gift-card,,No,,lamartina.com,Medium,
Lakme Salon,Maximize,,lakme-salon,No,,lakmesalon.com,Medium,
Landline Bill Payment,Gyftr,landline-bill-payment,,No,,,N/A,"Generic utility bill-payment category, not a single-brand storefront."
Lawrence and Mayo,Maximize,,lawrence-and-mayo,No,,lawrenceandmayo.in,Medium,
LE CREUSET,Maximize,,le-creuset,No,,lecreuset.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Levis,Gyftr,levis,,No,,levi.in,Verified,Search confirmed levi.in as the official Levi's India e-commerce site (distinct from global levi.com).
Libas,Gyftr,libas,,No,,libas.in,Verified,Search confirmed libas.in as the official ethnic-wear brand site.
Liberty Offline,Maximize,,liberty-offline,No,,libertyshoes.com,Verified,"Confirmed official site of Liberty Shoes, India footwear brand established 1954 in Karnal, Haryana; 'Offline' suffix indicates in-store/offline redemption of the same brand's vouchers."
Liberty Online,Gyftr+Maximize,liberty;liberty-online,liberty-online,No,,libertyshoesonline.com,Verified,"Search confirmed libertyshoesonline.com as Liberty Shoes' official online retail store, matching the 'Online' voucher variant."
Lifestyle,Gyftr+Maximize,lifestyle;lifestyle-online,lifestyle-online,No,,lifestylestores.com,Verified,Search confirmed lifestylestores.com as the official Lifestyle International (Landmark Group) site.
Lifestyle Offline,Maximize,,lifestyle-offline,No,,lifestylestores.com,Medium,
Linen Club,Maximize,,linen-club,No,,linenclub.com,Medium,
Lionsgate Play,Gyftr+Maximize,lions-gate,lionsgate-play,No,,lionsgateplay.com,Verified,Confirmed via search results as the streaming service's site for Hollywood movies/shows available in India.
Live Hindustan,Gyftr,live-hindustan,,No,,livehindustan.com,Verified,Search confirmed livehindustan.com as the official Hindi news site.
Live Mint,Maximize,,live-mint,No,,livemint.com,Verified,Search confirmed livemint.com as the official Mint business news site.
Lohono Stays,Gyftr+Maximize,lohono-stays,lohono-stays,No,,lohono.com,Verified,Search confirmed lohono.com as the official luxury villa rental site.
Louis Philippe Gift Voucher,Gyftr+Maximize,louis-philippe-gift-voucher,louis-philippe,No,,louisphilippe.abfrl.in,Medium,
Lulu Hypermarket,Maximize,,lulu-hypermarket,No,,luluhypermarket.com,Medium,
Lunch Box,Gyftr,lunch-box,,No,,,Uncertain,"No dedicated official domain found; vouchers for 'Lunch Box' are distributed only through third-party platforms (Hablax, GyFTR, Blinkit) and it has an Instagram presence (instagram.com/lunchbox_india) but no clearly identified own website (lunchbox.com/lunchbox.in not confirmed as belonging to this brand)."
Luxe Gift Card,Gyftr,luxe-gift-card,,No,,,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Luzo,Gyftr+Maximize,luzo,luzo,No,,luzo.app,Verified,"luzo.in does not resolve/exist. The real, active brand is Luzo, India's #1 Salon/Spa/Dermatologist booking app (Shark Tank India funded), at luzo.app (alt: luzoapp.com). No evidence found of it issuing vouchers, but it is the genuine live brand matching the name."
Luzo salon Spa And Clinics,Maximize,,luzo-salon-spa-and-clinics,No,,luzo.in,Medium,
Mac,Gyftr,mac,,No,,maccosmetics.com,Medium,
Mainland China,Gyftr,mainland-china,,No,,mainlandchina.com,Medium,
MAJE- Luxe Gift Card,Gyftr,maje,,No,,maje.com,Medium,
MakeMyTrip,Maximize,,makemytrip,No,,makemytrip.com,Verified,"Well-known official India travel booking site; all MakeMyTrip product-line variants (Bus, Cab, Hotel, Rail, Holiday, International, e-Pay) redeem on the same makemytrip.com domain."
MakeMyTrip Bus,Maximize,,makemytrip-bus,No,,makemytrip.com,Verified,Same underlying site as MakeMyTrip; bus booking is a section of makemytrip.com.
MakeMyTrip Cab,Maximize,,makemytrip-cab,No,,makemytrip.com,Verified,Same underlying site as MakeMyTrip; cab booking is a section of makemytrip.com.
MakeMyTrip e-Pay,Gyftr+Maximize,makemytrip-e-pay,makemytrip-e-pay,No,,makemytrip.com,Verified,e-Pay is a voucher/payment product on the same makemytrip.com site.
Makemytrip Holiday,Maximize,,makemytrip-holiday,No,,makemytrip.com,Verified,Holiday packages are a section of makemytrip.com.
MakeMyTrip Holiday e-Pay,Gyftr+Maximize,makemytrip-holiday-e-pay,makemytrip-holiday-e-pay,No,,makemytrip.com,Verified,Same underlying site as MakeMyTrip.
Makemytrip Hotel,Maximize,,makemytrip-hotel,No,,makemytrip.com,Verified,Hotel booking is a section of makemytrip.com.
MakeMyTrip Hotel e-Pay,Gyftr+Maximize,makemytrip-hotel-e-pay,makemytrip-hotel-e-pay,No,,makemytrip.com,Verified,Same underlying site as MakeMyTrip.
MakeMyTrip International,Maximize,,makemytrip-international,No,,makemytrip.com,Verified,International bookings are a section of makemytrip.com.
MakeMyTrip Rail,Maximize,,makemytrip-rail,No,,makemytrip.com,Verified,Rail booking is a section of makemytrip.com.
Malabar Diamond,Maximize,,malabar-diamond,No,,malabargoldanddiamonds.com,Medium,
Malabar Diamonds,Gyftr,malabar-diamonds,,No,,malabargoldanddiamonds.com,Verified,Well-known official Malabar Gold & Diamonds jewellery chain site; all Malabar voucher variants map to the same domain.
Malabar Gold Coin,Gyftr+Maximize,malabar-gold-coin,malabar-gold-coin,No,,malabargoldanddiamonds.com,Verified,Same underlying brand/site as other Malabar voucher variants.
Malabar Jewellery,Gyftr,malabar-jewellery,,No,,malabargoldanddiamonds.com,Verified,Same underlying brand/site as other Malabar voucher variants.
Malabar Silver Coin,Gyftr,malabar-silver-coin,,No,,malabargoldanddiamonds.com,Verified,Same underlying brand/site as other Malabar voucher variants.
Mamaearth,Gyftr,mamaearth,,No,,mamaearth.in,Verified,Well-known official India D2C personal-care brand site (Honasa Consumer).
Mango,Gyftr+Maximize,mango,mango,No,,mango.com,Medium,
Manyavar,Gyftr+Maximize,manyavar,manyavar,No,,manyavar.com,Verified,Well-known official ethnic menswear brand (Vedant Fashions) site.
Marks & Spencer,Gyftr,marks-&-spencer,,No,,marksandspencer.in,Verified,"M&S India is run by Reliance Brands under the India-specific marksandspencer.in domain, distinct from global marksandspencer.com."
Marks &amp; Spencer,Maximize,,marks-amp-spencer,No,,marksandspencer.in,Medium,
Marriott Hotels India,Maximize,,marriott-hotels-india,No,,marriott.com,Medium,
Marriott India -Dining,Maximize,,marriott-india-dining,No,,marriott.com,Medium,
Marriott India -Spa,Maximize,,marriott-india-spa,No,,marriott.com,Medium,
Matrix,Gyftr,matrix,,No,,matrixprofessional.in,Verified,"Ambiguous name (also a travel/SIM brand at matrix.in), but Matrix Professional (hair salon/haircare) is the entity confirmed to issue gift vouchers via GyFTR and bank partnerships (HDFC, Axis, IndusInd) in India -- the strongest disambiguating signal per instructions."
MAX,Gyftr,max;max-fashion-online,,No,,maxfashion.in,Verified,Well-known official Max Fashion (Landmark Group) India site.
Max Fashion (Offline),Maximize,,max-fashion-offline,No,,maxfashion.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Me N Moms,Gyftr+Maximize,me-n-moms,me-n-moms,No,,menmoms.in,Verified,"menmoms.com is a parked/expired domain (redirects to HugeDomains). menmoms.in confirmed live: 'Me n Moms' Indian baby/kids products and maternity wear retailer, own brand 'Mee Mee', physical stores across India."
Mediwheel,Gyftr,mediwheel,,No,,mediwheel.in,Verified,"Correct domain is mediwheel.in, not mediwheel.com. Confirmed live: cashless OPD healthtech company (Arcofemi Healthcare Limited), New Delhi, 10,000+ partner healthcare centers."
Mia,Gyftr,mia,,No,,miabytanishq.com,Medium,
Mia By Tanishq,Maximize,,mia-by-tanishq,No,,miabytanishq.com,Medium,
Michael Kors-Luxe Gift Card,Gyftr+Maximize,luxe-gift-card-michael-kors,michael-kors-luxe,No,,michaelkors.com,Medium,
Microsoft Office,Gyftr+Maximize,microsoft-office,microsoft-office,No,,microsoft.com,Verified,Well-known official Microsoft site; Office subscriptions are managed under microsoft.com/office (or office.com).
Microsoft Xbox Game Pass Core,Gyftr,microsoft-xbox-game-pass-core,,No,,xbox.com,Verified,Well-known official Xbox site for Game Pass redemption.
Microsoft Xbox PC Game Pass,Gyftr,microsoft-xbox-pc-game-pass,,No,,xbox.com,Verified,Same official Xbox site as other Game Pass variants.
Milkbasket,Gyftr+Maximize,milkbasket,milkbasket,No,,milkbasket.com,Verified,Well-known official Gurgaon-based daily grocery/milk delivery service site.
Minus30,Gyftr+Maximize,minus30,minus30,No,,minus30.co,Verified,"Correct domain is minus30.co, not minus30.in. Confirmed live: Minus 30 Private Limited, D2C gelato/ice cream brand founded 2017, New Delhi, delivers across major Indian cities."
Miraggio,Maximize,,miraggio,No,,miraggiolife.com,Verified,"Correct domain is miraggiolife.com, not miraggio.in. Confirmed live: MIRAGGIO Lifestyles Private Limited, Indian handbag/accessories brand, INR pricing, featured in Grazia/Harper's Bazaar/Cosmopolitan/Elle."
Moba Legends 5v5,Gyftr+Maximize,moba-legends-5v5,moba-legends-5v5,No,,mobilelegends.com,Verified,Refers to Mobile Legends: Bang Bang by Moonton; official site is mobilelegends.com (voucher name is a shorthand/mistranslation of the game title).
Mobile Postpaid - Bill Payment,Gyftr,mobile-postpaid-bill-payment,,No,,,N/A,"Generic utility bill-pay category, not a brand"
Mobile Prepaid - Recharge,Gyftr,mobile-prepaid-recharge,,No,,,N/A,"Generic mobile recharge utility category, not a single-brand storefront."
Modern Bazaar,Maximize,,modern-bazaar,No,,modernbazaaronline.com,Medium,
Mokobara,Maximize,,mokobara,No,,mokobara.com,Medium,
MOTHER CARE-Luxe,Maximize,,mother-care-luxe,No,,mothercare.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Mothercare-Luxe Gift Card,Gyftr,luxe-gift-card-mothercare,,No,,mothercare.in,Verified,Confirmed official India e-commerce site for Mothercare (baby/kids/maternity products); 'Luxe Gift Card' is a voucher-platform tag stripped to reveal the underlying brand.
MPJ Gold Jewellery,Maximize,,mpj-gold-jewellery,No,,mpjewellers.com,Medium,
MPJ&nbsp;Diamond Jewellery,Maximize,,mpj-nbsp-diamond-jewellery,No,,mpjewellers.com,Medium,
MS Xbox Game Pass Ultimate,Gyftr,ms-xbox-game-pass-ultimate,,No,,xbox.com,Verified,Same official Xbox site as other Game Pass variants.
MUJI- Luxe Gift Card,Gyftr,muji,,No,,muji.in,Verified,"Confirmed official MUJI India site (Copyright MUJI India, store locator, product categories); 'Luxe Gift Card' suffix stripped to reveal underlying brand."
Muro QC,Maximize,,muro-qc,No,,muroqc.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Muscle%20Blaze,Maximize,,muscle-20blaze,No,,muscleblaze.com,Verified,Well-known official Indian sports nutrition brand (HealthKart) site; '%20' in the brand name is a URL-encoded space artifact for 'Muscle Blaze'.
Muthoot Gold Voucher,Gyftr+Maximize,muthoot-gold-voucher,muthoot-gold-voucher,No,,muthootfinance.com,Uncertain,"Muthoot Finance (muthootfinance.com) is the obvious parent brand (India's largest gold loan NBFC, part of Muthoot Group), but direct fetch of the homepage returned 403 Forbidden and search results (Bing, DuckDuckGo) only surfaced gold-loan products, not a specific 'Gold Voucher'/gift-card product page. Likely correct brand, but the exact voucher product could not be confirmed live."
Nat Habit,Gyftr,nat-habit,,No,,nathabit.in,Verified,Search confirms nathabit.in is the brand's official domain and matches its Instagram handle.
Natural Salon 10K,Maximize,,natural-salon-10k,No,,naturals.in,Medium,
Natural Salon 20K,Maximize,,natural-salon-20k,No,,naturals.in,Medium,
Natural Salon 4K,Maximize,,natural-salon-4k,No,,naturals.in,Medium,
Nature's Basket,Maximize,,nature-s-basket,No,,naturesbasket.co.in,Medium,
Nautica,Gyftr+Maximize,nautica,nautica,No,,nautica.com,Medium,
Neemans,Gyftr+Maximize,neemans,neeman-s,No,,neemans.com,Verified,Search confirms neemans.com is Neeman's official India footwear site (Hyderabad-based sustainable shoe brand).
Neerus,Maximize,,neerus,No,,neerus.com,Medium,
Nestasia,Gyftr+Maximize,nestasia,nestasia,No,,nestasia.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Netmeds,Gyftr+Maximize,netmeds,netmeds,No,,netmeds.com,Verified,"WebFetch of netmeds.com confirmed it is India's online pharmacy platform, live and matching the brand."
NEXT,Gyftr+Maximize,next,next,No,,next.co.uk,Medium,
Nilkamal Homes,Maximize,,nilkamal-homes,No,,nilkamal.com,Medium,
Nintendo eShop Voucher,Gyftr,nintendo-eshop-voucher,,No,,nintendo.com,Verified,WebFetch confirmed nintendo.com is an official Nintendo property (region/language selector routing to regional Nintendo sites where eShop gift cards are sold).
Nintendo Shop,Maximize,,nintendo-shop,No,,nintendo.com,Verified,Same official Nintendo domain as confirmed for Nintendo eShop Voucher.
Nua Woman,Gyftr,nua-woman,,No,,nuawoman.com,Verified,"Search confirms nuawoman.com is Nua's official period-care/intimate hygiene site, Mumbai-based, founded 2017."
Nua Women,Maximize,,nua-women,No,,nuawoman.com,Verified,"Same brand as 'Nua Woman', just a different listing name across marketplaces; confirmed nuawoman.com."
Nykaa Man,Gyftr,nykaa-man,,No,,nykaaman.com,Verified,Search confirms nykaaman.com is Nykaa's official men's grooming storefront.
Nykaa Men,Maximize,,nykaa-men,No,,nykaaman.com,Verified,"Same brand as 'Nykaa Man', alternate listing name; confirmed nykaaman.com."
Ode Spa Salon,Maximize,,ode-spa-salon,No,,odespasalon.com,Medium,
Oh! Calcutta,Gyftr+Maximize,oh-calcutta,oh-calcutta,No,,speciality.co.in,Medium,
OLA CABS,Gyftr,ola-cabs,,No,,olacabs.com,Verified,"WebFetch confirmed olacabs.com is the official Ola ride-hailing site, operating across 250+ cities including India."
ORGANIC INDIA,Gyftr+Maximize,organic-india,organic-india,No,,organicindia.com,Medium,
Oven Story,Gyftr+Maximize,oven-story,ovenstory,No,,ovenstory.in,Verified,"Search confirms ovenstory.in is the official Oven Story Pizza delivery site (part of EatSure), operating across 70+ Indian cities."
Ovenstory Pizza,Gyftr,ovenstory-pizza,,No,,ovenstory.com,Medium,
Palmonas,Gyftr+Maximize,palmonas,palmonas,No,,palmonas.com,Verified,"Search confirms palmonas.com is the official demi-fine jewellery brand site (Shark Tank India-featured, Pune HQ)."
PANTALOONS,Gyftr+Maximize,pantaloons,pantaloons,No,,pantaloons.com,Medium,
Park Avenue,Gyftr+Maximize,park-avenue,park-avenue,No,,parkavenue.abfrl.in,Medium,
Parx,Gyftr+Maximize,parx,parx,No,,parxonline.com,Medium,
Paul and Shark - Luxe,Maximize,,paul-and-shark-luxe,No,,paulshark.com,Medium,
PAUL SHARK- Luxe Gift Card,Gyftr,paul-and-shark,,No,,paulshark.com,Medium,
Paul Smith- Luxe Gift Card,Gyftr,luxe-gift-card---paul-smith,,No,,paulsmith.com,Medium,
PC Chandra Gold Coin,Maximize,,pc-chandra-gold-coin,No,,pcchandra.com,Medium,
PC Jeweller Diamond,Gyftr,pc-jeweller-diamond,,No,,pcjeweller.com,Medium,
PC Jeweller Gold,Gyftr,pc-jeweller-gold,,No,,pcjeweller.com,Medium,
PC Jeweller Gold Coin,Gyftr,pc-jeweller-gold-coin,,No,,pcjeweller.com,Medium,
PCJ Diamond Jewellery,Maximize,,pcj-diamond-jewellery,No,,pcjeweller.com,Medium,
PCJ Gold Coin,Maximize,,pcj-gold-coin,No,,pcjeweller.com,Medium,
PCJ Gold Jewellery,Maximize,,pcj-gold-jewellery,No,,pcjeweller.com,Medium,
Peora Fashions,Maximize,,peora-fashions,No,,peorafashion.com,Medium,
Peter England Gift Voucher,Gyftr+Maximize,peter-england-gift-voucher,peter-england,No,,peterengland.com,Medium,
Philips,Gyftr,philips,,No,,philips.co.in,Verified,"Search confirms philips.co.in is Philips' official India site, separate from global philips.com."
PhonePe,Maximize,,phonepe,No,,phonepe.com,Verified,"WebFetch confirmed phonepe.com is the official Indian digital payments company site (UPI, investments, insurance, etc.)."
PhonePe (Fixed),Maximize,,phonepe-fixed,No,,phonepe.com,Verified,"Same underlying brand as PhonePe; '(Fixed)' is a voucher-platform denomination tag, stripped to the same verified domain."
Pigeon,Gyftr,pigeon,,No,,pigeonappliances.com,Medium,
PinePerksRupayPrime-WH,Maximize,,pineperksrupayprime-wh,No,,,N/A,"Not a real consumer brand storefront — reads like an internal RuPay/PinePerks card-program SKU code, not a single official website."
Pixel Go,Maximize,,pixel-go,No,,,N/A,Ambiguous name in India: could refer to HDFC Bank's 'PIXEL Go' credit card or the unrelated AppyHigh 'Pixel Go' AI-apps bundle. No single verifiable official brand storefront found; not a normal e-commerce/redemption site.
Pizza Hut,Gyftr,pizza-hut,,No,,pizzahut.co.in,Verified,"WebFetch confirmed pizzahut.co.in is Pizza Hut India's official ordering site, footer credits '© Pizza Hut India' with FSSAI license number."
Planet Fashion Gift Voucher,Gyftr+Maximize,planet-fashion-gift-voucher,planet-fashion,No,,planetfashion.in,Medium,
Points for Good,Gyftr+Maximize,points-for-good,points-for-good,No,,pointsforgood.org,Verified,"Corrected from the original .com guess: pointsforgood.com redirects to a HugeDomains 'domain for sale' page, while pointsforgood.org is the live 'Donate Reward Points Online - Points For Good' site; also confirmed as a real gift-card brand via listings on GyFTR, Woohoo.in, and Amazon.in."
Porter,Maximize,,porter,No,,porter.in,Verified,Search confirms porter.in is the official site for Porter's goods transport / packers-and-movers service across 22+ Indian cities.
Porter Packers and Movers,Gyftr,porter,,No,,porter.in,Verified,"Same company/brand as 'Porter'; the Packers & Movers service is a section of porter.in, not a separate site."
Pottery Barn- Luxe Gift Card,Gyftr,pottery-barn--luxe-gift-card,,No,,potterybarn.com,Verified,Search confirms potterybarn.com is Pottery Barn's official site and gift-card page; note Pottery Barn gift cards are not usable for purchases shipped/billed internationally.
Prestige,Gyftr+Maximize,prestige,prestige,No,,ttkprestige.com,Verified,"Search confirms ttkprestige.com is the official site of TTK Prestige, India's top kitchen/home appliance brand (shop.ttkprestige.com for purchases)."
Pret A Manger-Luxe Gift Card,Gyftr,pret-a-manger-luxe-gift-card,,No,,pret.com,Medium,
Pronto,Gyftr+Maximize,pronto,pronto,No,,,N/A,Could not identify a specific single 'Pronto' brand — search returned no matching official storefront; name is too generic to confirm which company this voucher refers to.
Puma,Gyftr+Maximize,puma,puma,No,,puma.com,Medium,
Punjab Grill,Maximize,,punjab-grill,No,,punjabgrill.in,Medium,
Pure Home &amp; Living,Maximize,,pure-home-amp-living,No,,purehomeliving.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Pure Home + Living,Gyftr,pure-home-living,,No,,purehomeandliving.com,Verified,Search confirms purehomeandliving.com is the official site (note: current_guess 'purehomeliving.com' was missing the 'and' — corrected).
PVR,Maximize,,pvr,No,,pvrcinemas.com,Verified,Search confirms pvrcinemas.com is the official PVR (now PVR INOX) movie-ticket booking site.
PVR Cinemas - GYFTR,Maximize,,pvr-cinemas-gyftr,No,,pvrcinemas.com,Verified,"Same brand as 'PVR'; GYFTR is just the marketplace selling the voucher, not part of the brand name."
PVR INOX,Gyftr,pvr,,No,,pvrcinemas.com,Verified,Search confirms the merged PVR INOX entity's official sites are pvrcinemas.com and inoxmovies.com; used pvrcinemas.com as primary (note: current_guess 'pvrinox.com' was not confirmed as an actual official domain).
Quick Heal,Gyftr,quick-heal,,No,,quickheal.co.in,Verified,"quickheal.com redirects (302) to quickheal.co.in, which WebFetch confirmed as Quick Heal Technologies Limited's official India antivirus/cybersecurity site -- using the India-specific domain per instructions."
R&B,Gyftr,r&b,,No,,rnbtrends.com,Medium,
Rainbow Six Mobile,Gyftr+Maximize,rainbow-six-mobile,rainbow-six-mobile,No,,ubisoft.com,Verified,"Search confirms the official site/store is under ubisoft.com/game/rainbow-six/mobile — Ubisoft is the correct parent brand, not a standalone rainbowsix.com."
Rangriti,Gyftr+Maximize,rangriti,rangriti,No,,rangriti.com,Verified,Search confirms rangriti.com is the official site; brand is licensed by BIBA Fashion Limited.
Ratnadeep Retail,Maximize,,ratnadeep-retail,No,,ratnadeepretail.com,Medium,
Raymond - Ready to Wear,Gyftr+Maximize,raymond---ready-to-wear,raymond-ready-to-wear,No,,raymond.in,Medium,
Razer Gold,Maximize,,razer-gold,No,,razer.com,Verified,"Search confirms the official top-up portal is gold.razer.com, a subdomain of razer.com."
Razorpay Money Bill,Maximize,,razorpay-money-bill,No,,razorpay.com,Verified,"WebFetch confirmed razorpay.com as India's Razorpay fintech platform. The specific 'Money Bill' feature wasn't visible on the fetched homepage, but Razorpay is unambiguously the parent brand issuing this product."
Razorpay Money Flex,Maximize,,razorpay-money-flex,No,,razorpay.com,Verified,Same reasoning as Razorpay Money Bill -- Razorpay is the confirmed parent brand; 'Flex' is a specific product variant.
Reader's Digest,Gyftr,readers-digest,,No,,readersdigest.in,Verified,Search confirms readersdigest.in is the live official India site (published by India Today Group); current_guess 'readersdigest.co.in' was not the confirmed live domain.
Relaxo,Gyftr+Maximize,relaxo,relaxo,No,,relaxofootwear.com,Medium,
Reliance Jewels,Gyftr+Maximize,reliance-jewels,reliance-jewels,No,,reliancejewels.com,Medium,
Reliance Jio Mart,Gyftr+Maximize,reliance-jio-mart,reliance-jio-mart,No,,jiomart.com,Verified,"WebFetch confirmed jiomart.com as 'India's online shopping' platform, Reliance's e-commerce venture."
Reliance My Jio Store,Gyftr+Maximize,reliance-my-jio-store,reliance-my-jio-store,No,,jio.com,Medium,
Reliance Smart,Gyftr,reliance-smart,,No,,reliancesmart.in,Medium,
Reliance Smart Bazaar,Gyftr,reliance-smart-bazaar,,No,,reliancesmart.in,Medium,
Reliance Smart Point,Gyftr,reliance-smart-point,,No,,reliancesmart.in,Medium,
Reliance Trends,Gyftr+Maximize,reliance-trends,reliance-trends,No,,reliancetrends.com,Medium,
Reliance Trends Footwear,Gyftr,reliance-trends-footwear,,No,,reliancetrends.com,Medium,
Renee Cosmetics,Gyftr,renee-cosmetics,,No,,reneecosmetics.in,Verified,"WebFetch confirmed reneecosmetics.in as RENEE Cosmetics, an Indian cruelty-free makeup brand -- India-specific domain used."
Resonate Router UPS,Maximize,,resonate-router-ups,No,,resonate.store,Verified,"Corrected from the original resonate.co.in guess: search results and WebFetch confirmed resonate.store is Resonate Thinkbig's official direct-to-consumer store for RouterUPS products ('trusted by ten lakh Indian homes since 2017'), also sold via Amazon/Flipkart/Croma/Reliance Digital."
Riot League of Legends 1660,Maximize,,riot-league-of-legends-1660,No,,riotgames.com,Verified,"Confirmed riotgames.com as the official Riot Games domain (developer of League of Legends); '1660' is a Riot Points denomination tag, not a separate brand."
Riot League of Legends 2900,Maximize,,riot-league-of-legends-2900,No,,riotgames.com,Verified,"Fetch confirmed riotgames.com as the official Riot Games corporate site (developer of League of Legends). The number is an RP (Riot Points) denomination, not a different brand."
Riot League of Legends 415,Maximize,,riot-league-of-legends-415,No,,riotgames.com,Verified,Same brand as 'Riot League of Legends 2900'; riotgames.com confirmed via fetch. Number is an RP denomination.
Riot League of Legends 4150,Maximize,,riot-league-of-legends-4150,No,,riotgames.com,Verified,Same brand as 'Riot League of Legends 2900'; riotgames.com confirmed via fetch. Number is an RP denomination.
Riot League of Legends 830,Maximize,,riot-league-of-legends-830,No,,riotgames.com,Verified,Same brand as 'Riot League of Legends 2900'; riotgames.com confirmed via fetch. Number is an RP denomination.
RITU KUMAR- Luxe Gift Card,Gyftr,ritu-kumar,,No,,ritukumar.com,Verified,Search confirms ritukumar.com is the official site for designer Ritu Kumar (also labelritukumar.com for the diffusion line).
Roblox,Gyftr+Maximize,roblox,roblox,No,,roblox.com,Verified,"roblox.com is the unambiguous, globally known official domain for Roblox Corporation; no competing brand of this name exists."
Roblox Gift Card,Gyftr,roblox-gift-card,,No,,roblox.com,Verified,Same brand as 'Roblox'; 'Gift Card' just describes the voucher product.
ROWAN- Luxe Gift Card,Gyftr,rowan,,No,,rowanonline.com,Medium,
Samsonite,Gyftr+Maximize,samsonite,samsonite,No,,samsonite.in,Medium,
